donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion
LP0080,CES 2024 Common Content,1888825080,8.35769752951411,27,18-29,Male,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Other,Nevada,NV,,1888825080,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Roman Catholic
LP0081,CES 2024 Common Content,1888941432,4.43960762723765,25,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,Washington,WA,,1888941432,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Protestant
LP0082,CES 2024 Common Content,1888953090,5.9210688959279,24,18-29,Male,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other,Texas,TX,,1888953090,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Nothing in particular
LP0083,CES 2024 Common Content,1889128352,3.09683685345704,24,18-29,Male,Hispanic / Latino,Less than high school,"Less than $30,000",Other,Connecticut,CT,,1889128352,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Something else
LP0084,CES 2024 Common Content,1891425616,13.7804942888017,18,18-29,Male,Hispanic / Latino,Less than high school,"Less than $30,000",Other,Florida,FL,,1891425616,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Roman Catholic
LP0085,CES 2024 Common Content,1893074050,1.24693985514251,27,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,California,CA,,1893074050,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular
LP0086,CES 2024 Common Content,1894289428,2.76692607637951,27,18-29,Male,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,Illinois,IL,,1894289428,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
LP0087,CES 2024 Common Content,1894334562,13.7804942888017,20,18-29,Male,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Other,New Mexico,NM,,1894334562,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Atheist
LP0088,CES 2024 Common Content,1900110528,13.1841712680944,29,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,California,CA,,1900110528,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic
LP0089,CES 2024 Common Content,1903016080,6.78762777664584,23,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,Wisconsin,WI,,1903016080,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular
LP0090,CES 2024 Common Content,1877322688,12.143764600998,25,18-29,Male,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Independent,Massachusetts,MA,,1877322688,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Agnostic
LP0091,CES 2024 Common Content,1882725290,5.0791044785888,19,18-29,Male,Asian / Asian American,High school diploma / GED,"Less than $30,000",Independent,Texas,TX,,1882725290,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Something else
LP0092,CES 2024 Common Content,1886682642,1.30805459816306,29,18-29,Male,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Republican,Massachusetts,MA,,1886682642,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Atheist
LP0093,CES 2024 Common Content,1886940902,13.6128513346066,20,18-29,Male,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California,CA,,1886940902,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic
LP0094,CES 2024 Common Content,1889413622,6.00599637118826,28,18-29,Male,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Independent,Hawaii,HI,,1889413622,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular
LP0095,CES 2024 Common Content,1890162432,3.66162397647073,27,18-29,Male,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Democrat,Washington,WA,,1890162432,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Nothing in particular
