latent_profile_id,donor_id,gender,age,age_band,race,education,education_approximated,income,income_approximated,party,state_abbr,religion,political_ideology,ces_commonweight,population_seed
LP0134,1889541824,Male,40,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Republican,MI,Protestant,Moderate,2.11174588950761,20260831
LP0135,1889750768,Male,32,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Republican,FL,Protestant,Conservative,1.52058354322934,20260831
LP0136,1890599398,Male,44,30-44,White / Caucasian,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Independent,OR,Agnostic,Liberal,0.705419794425452,20260831
LP0137,1891087658,Male,40,30-44,White / Caucasian,Master's degree / Professional degree,True,"$56,000 to $99,999",False,Other,OH,Something else,,1.52219085311834,20260831
LP0138,1891137494,Male,42,30-44,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",True,Independent,NC,Protestant,Moderate,2.23673917190852,20260831
LP0139,1892153390,Male,34,30-44,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Democrat,MN,Protestant,Liberal,6.85688578878647,20260831
LP0140,1893082542,Male,42,30-44,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Independent,NY,Protestant,Moderate,3.50540591895063,20260831
LP0141,1893136162,Male,37,30-44,White / Caucasian,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Democrat,CA,Roman Catholic,Liberal,1.06320436353101,20260831
LP0142,1893630068,Male,33,30-44,White / Caucasian,Master's degree / Professional degree,True,"$56,000 to $99,999",False,Independent,MA,Roman Catholic,Very liberal,1.182066615113,20260831
LP0143,1893964062,Male,40,30-44,White / Caucasian,Bachelor's degree,False,"$168,000 or more",False,Democrat,MD,Nothing in particular,Very liberal,0.723107753940503,20260831
LP0144,1894193728,Male,33,30-44,White / Caucasian,Bachelor's degree,False,"Less than $30,000",False,Other,PA,Buddhist,Very liberal,0.588901994512576,20260831
LP0145,1894272046,Male,44,30-44,White / Caucasian,Some college or Associate's degree,False,"$56,000 to $99,999",False,Other,KS,Atheist,Very liberal,2.1501674986137,20260831
LP0146,1894272718,Male,43,30-44,White / Caucasian,Some college or Associate's degree,False,"$56,000 to $99,999",False,Democrat,TX,Protestant,Liberal,1.6031850349506,20260831
LP0147,1894275722,Male,44,30-44,White / Caucasian,Some college or Associate's degree,False,"$56,000 to $99,999",False,Democrat,WA,Something else,Very liberal,0.961047184092407,20260831
LP0148,1894279434,Male,44,30-44,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",False,Independent,TN,Nothing in particular,Moderate,3.3815031595238,20260831
LP0149,1894286322,Male,31,30-44,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Other,PA,Nothing in particular,,5.38197097389109,20260831
LP0150,1894443344,Male,31,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Republican,IL,Roman Catholic,Moderate,0.773041848765133,20260831
LP0151,1894746766,Male,42,30-44,White / Caucasian,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Democrat,CA,Atheist,Moderate,0.511640634066306,20260831
LP0152,1894822476,Male,39,30-44,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",False,Republican,PA,Protestant,Conservative,1.25294085909514,20260831
LP0153,1895402128,Male,41,30-44,White / Caucasian,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Republican,NY,Roman Catholic,Conservative,0.783422669029257,20260831
LP0154,1895418914,Male,37,30-44,White / Caucasian,Master's degree / Professional degree,True,"$168,000 or more",False,Independent,VA,Roman Catholic,Moderate,0.988421300935694,20260831
LP0155,1895697752,Male,31,30-44,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,AZ,Protestant,Liberal,0.62759150456969,20260831
LP0156,1897110538,Male,44,30-44,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",False,Republican,NC,Something else,Conservative,1.96849883279161,20260831
LP0157,1897886280,Male,40,30-44,White / Caucasian,Bachelor's degree,False,"$168,000 or more",False,Democrat,OR,Atheist,Very liberal,2.17029769573788,20260831
LP0158,1898264244,Male,42,30-44,White / Caucasian,Bachelor's degree,False,"$168,000 or more",True,Democrat,IL,Something else,Very liberal,1.36039184217588,20260831
LP0159,1898320040,Male,33,30-44,White / Caucasian,Master's degree / Professional degree,True,"$30,000 to $55,999",True,Independent,MO,Roman Catholic,Conservative,1.1134648227953,20260831
